name,province_id
MATAG-OB,42
MATALOM,42
MAYORGA,42
MERIDA,42
ORMOC CITY,42
PALO,42
PALOMPON,42
PASTRANA,42
SAN ISIDRO,42
SAN MIGUEL,42
SANTA FE,42
TABANGO,42
TABONTABON,42
TACLOBAN CITY (Capital),42
TANAUAN,42
TOLOSA,42
TUNGA,42
VILLABA,42
ALLEN,43
BIRI,43
BOBON,43
CAPUL,43
CATARMAN (Capital),43
CATUBIG,43
GAMAY,43
LAOANG,43
LAPINIG,43
LAS NAVAS,43
LAVEZARES,43
MAPANAS,43
MONDRAGON,43
PALAPAG,43
PAMBUJAN,43
ROSARIO,43
SAN ANTONIO,43
SAN ISIDRO,43
SAN JOSE,43
SAN ROQUE,43
SAN VICENTE,43
SILVINO LOBOS,43
VICTORIA,43
LOPE DE VEGA,43
ALMAGRO,44
BASEY,44
CALBAYOG CITY,44
CALBIGA,44
CITY OF CATBALOGAN (Capital),44
DARAM,44
GANDARA,44
HINABANGAN,44
JIABONG,44
MARABUT,44
MATUGUINAO,44
MOTIONG,44
PINABACDAO,44
SAN JOSE DE BUAN,44
SAN SEBASTIAN,44
SANTA MARGARITA,44
SANTA RITA,44
SANTO NINO,44
TALALORA,44
TARANGNAN,44
VILLAREAL,44
PARANAS (WRIGHT),44
ZUMARRAGA,44
TAGAPUL-AN,44
SAN JORGE,44
PAGSANGHAN,44
ANAHAWAN,45
BONTOC,45
HINUNANGAN,45
HINUNDAYAN,45
LIBAGON,45
LILOAN,45
CITY OF MAASIN (Capital),45
MACROHON,45
MALITBOG,45
PADRE BURGOS,45
PINTUYAN,45
SAINT BERNARD,45
SAN FRANCISCO,45
SAN JUAN (CABALIAN),45
SAN RICARDO,45
SILAGO,45
SOGOD,45
TOMAS OPPUS,45
LIMASAWA,45
ALMERIA,45
BILIRAN,46
CABUCGAYAN,46
CAIBIRAN,46
CULABA,46
KAWAYAN,46
MARIPIPI,46
NAVAL (Capital),46
DAPITAN CITY,47
DIPOLOG CITY (Capital),47
KATIPUNAN,47
LA LIBERTAD,47
LABASON,47
LILOY,47
MANUKAN,47
MUTIA,47
PINAN (NEW PINAN),47
POLANCO,47
PRES. MANUEL A. ROXAS,47
RIZAL,47
SALUG,47
SERGIO OSMENA SR.,47
SIAYAN,47
SIBUCO,47
SIBUTAD,47
SINDANGAN,47
SIOCON,47
SIRAWAI,47
TAMPILISAN,47
JOSE DALMAN (PONOT),47
GUTALAC,47
BALIGUIAN,47
GODOD,47
BACUNGAN (Leon T. Postigo),47
KALAWIT,47
AURORA,48
BAYOG,48
DIMATALING,48
DINAS,48
DUMALINAO,48
DUMINGAG,48
KUMALARANG,48
LABANGAN,48
LAPUYAN,48
MAHAYAG,48
MARGOSATUBIG,48
MIDSALIP,48
MOLAVE,48
PAGADIAN CITY (Capital),48
RAMON MAGSAYSAY (LIARGO),48
SAN MIGUEL,48
SAN PABLO,48
TABINA,48
TAMBULIG,48
TUKURAN,48
ZAMBOANGA CITY,49
LAKEWOOD,48
JOSEFINA,48
PITOGO,48
SOMINOT (DON MARIANO MARCOS),48
VINCENZO A. SAGUN,48
GUIPOS,48
TIGBAO,48
ALICIA,50
BUUG,50
DIPLAHAN,50
IMELDA,50
IPIL (Capital),50
KABASALAN,50
MABUHAY,50
MALANGAS,50
NAGA,50
OLUTANGA,50
PAYAO,50
ROSELLER LIM,50
SIAY,50
TALUSAN,50
TITAY,50
TUNGAWAN,50
CITY OF ISABELA,51
BAUNGON,52
DAMULOG,52
DANGCAGAN,52
DON CARLOS,52
IMPASUG-ONG,52
KADINGILAN,52
KALILANGAN,52
KIBAWE,52
KITAOTAO,52
LANTAPAN,52
LIBONA,52
CITY OF MALAYBALAY (Capital),52
MALITBOG,52
MANOLO FORTICH,52
MARAMAG,52
PANGANTUCAN,52
QUEZON,52
SAN FERNANDO,52
SUMILAO,52
TALAKAG,52
CITY OF VALENCIA,52
CABANGLASAN,52
CATARMAN,53
GUINSILIBAN,53
MAHINOG,53
MAMBAJAO (Capital),53
SAGAY,53
BACOLOD,54
BALOI,54
BAROY,54
ILIGAN CITY,54
KAPATAGAN,54
SULTAN NAGA DIMAPORO (KAROMATAN),54
KAUSWAGAN,54
KOLAMBUGAN,54
LALA,54
LINAMON,54
MAGSAYSAY,54
MAIGO,54
MATUNGAO,54
MUNAI,54
NUNUNGAN,54
PANTAO RAGAT,54
POONA PIAGAPO,54
SALVADOR,54
SAPAD,54
TAGOLOAN,54
TANGCAL,54
TUBOD (Capital),54
PANTAR,54
ALORAN,55
BALIANGAO,55
BONIFACIO,55
CALAMBA,55
CLARIN,55
CONCEPCION,55
JIMENEZ,55
LOPEZ JAENA,55
OROQUIETA CITY (Capital),55
OZAMIS CITY,55
PANAON,55
PLARIDEL,55
SAPANG DALAGA,55
SINACABAN,55
TANGUB CITY,55
TUDELA,55
DON VICTORIANO CHIONGBIAN  (DON MARIANO MARCOS),55
ALUBIJID,56
BALINGASAG,56
BALINGOAN,56
BINUANGAN,56
CAGAYAN DE ORO CITY (Capital),56
CLAVERIA,56
CITY OF EL SALVADOR,56
GINGOOG CITY,56
GITAGUM,56
INITAO,56
JASAAN,56
KINOGUITAN,56
LAGONGLONG,56
LAGUINDINGAN,56
LIBERTAD,56
LUGAIT,56
MAGSAYSAY (LINUGOS),56
MANTICAO,56
MEDINA,56
NAAWAN,56
OPOL,56
SALAY,56
SUGBONGCOGON,56
TAGOLOAN,56
TALISAYAN,56
VILLANUEVA,56
ASUNCION (SAUG),57
CARMEN,57
KAPALONG,57
NEW CORELLA,57
CITY OF PANABO,57
ISLAND GARDEN CITY OF SAMAL,57
SANTO TOMAS,57
CITY OF TAGUM (Capital),57
TALAINGOD,57
BRAULIO E. DUJALI,57
